24 |2024-04-27 00:23:30.3332 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 0
24 |2024-04-27 00:23:30.3332 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
24 |2024-04-27 00:23:30.3332 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
29 |2024-04-27 00:23:31.5719 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
29 |2024-04-27 00:23:31.5719 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:23:31.5994 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 0
29 |2024-04-27 00:23:31.5994 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
21 |2024-04-27 00:23:32.3528 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
21 |2024-04-27 00:23:32.3528 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
21 |2024-04-27 00:23:32.3528 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
21 |2024-04-27 00:23:32.3831 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 0
21 |2024-04-27 00:23:32.3831 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
21 |2024-04-27 00:23:32.3831 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 00:23:33.5919 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 00:23:33.5919 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
22 |2024-04-27 00:23:33.6232 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
22 |2024-04-27 00:23:33.6232 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
29 |2024-04-27 00:23:37.0797 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGetDelete |Calling List on Get By Delete:1 method
29 |2024-04-27 00:23:37.0797 |DEBUG |Data Layer |DataLayer.CategoryDB.Delete |Deleting category to DB
29 |2024-04-27 00:23:37.2243 |DEBUG |Data Layer |DataLayer.CategoryDB.Delete |Deleting category to DB
29 |2024-04-27 00:23:37.2243 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGetDelete |Called List on Get By Delete:1 method
29 |2024-04-27 00:23:37.2354 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
29 |2024-04-27 00:23:37.2354 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:23:37.2354 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 1
29 |2024-04-27 00:23:37.2354 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 00:23:39.7258 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGetDelete |Calling List on Get By Delete:3 method
22 |2024-04-27 00:23:39.7258 |DEBUG |Data Layer |DataLayer.CategoryDB.Delete |Deleting category to DB
22 |2024-04-27 00:23:39.7598 |DEBUG |Data Layer |DataLayer.CategoryDB.Delete |Deleting category to DB
22 |2024-04-27 00:23:39.7598 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGetDelete |Called List on Get By Delete:3 method
22 |2024-04-27 00:23:39.7719 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 00:23:39.7719 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
22 |2024-04-27 00:23:39.7719 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 0
22 |2024-04-27 00:23:39.7719 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
21 |2024-04-27 00:23:43.3730 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
21 |2024-04-27 00:23:43.3730 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
21 |2024-04-27 00:23:43.4090 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 0
21 |2024-04-27 00:23:43.4090 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 00:23:44.0313 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 00:23:44.0313 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
22 |2024-04-27 00:23:44.0577 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 1
22 |2024-04-27 00:23:44.0577 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 00:23:46.7280 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Calling List on Get By Delete:1 method
22 |2024-04-27 00:23:46.7280 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleting Project having {Project.Id} in Db
22 |2024-04-27 00:23:46.7732 |DEBUG |Data Layer |DataLayer.ProjectDB.Delete |Deleted Project having {Project.Id} in Db
22 |2024-04-27 00:23:46.7732 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGetDelete |Called List on Get By Delete:1 method
22 |2024-04-27 00:23:46.7839 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 00:23:46.7839 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
22 |2024-04-27 00:23:46.7839 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 0
22 |2024-04-27 00:23:46.7839 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
20 |2024-04-27 00:23:48.1439 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
20 |2024-04-27 00:23:48.1451 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
20 |2024-04-27 00:23:48.1705 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
20 |2024-04-27 00:23:48.1705 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
