25 |2024-04-27 01:35:11.8443 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
25 |2024-04-27 01:35:11.8443 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
25 |2024-04-27 01:35:11.8443 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:35:11.8750 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:35:11.8750 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
25 |2024-04-27 01:35:11.8750 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
12 |2024-04-27 01:35:13.9169 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:35:13.9169 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:35:13.9498 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
12 |2024-04-27 01:35:13.9498 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-27 01:35:16.0940 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:35:16.0940 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:35:16.1643 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 3
12 |2024-04-27 01:35:16.1643 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
3 |2024-04-27 01:35:18.1994 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
3 |2024-04-27 01:35:18.1994 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
3 |2024-04-27 01:35:18.2514 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
3 |2024-04-27 01:35:18.2514 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
